"Action","Target","Status","Detail","BackupPath"
"Update main Art Toys index","toys/art-toys-and-editions/index.html","Updated","Moved 147 MC item card(s) to MC subcategory and added one MC category card.","D:\github-backups\ron-english-toys\create-mc-subcategory-from-art-toys-index-v1-20260513-101326\toys\art-toys-and-editions\index.html"
"Create MC subcategory page","toys/art-toys-and-editions/mc/index.html","Created","Created MC page with 147 item card(s).",""
