"PageTitle","LocalPagePath","PageType","SectionGuess","LinkText","Href","Domain","InitialBucket","IsExternalHttp","IsRonEnglishArchiveNavigation","IsTrampt"
"Abraham Obama - Gold","items\abraham-obama-gold-929.html","Individual item page","Custom Toys","Section home","../index.html","","Local/internal link","False","False","False"
"Abraham Obama - Gold","items\abraham-obama-gold-929.html","Individual item page","Custom Toys","Sculptures","../sculptures/index.html","","Local/internal link","False","False","False"
"Abraham Obama - Gold","items\abraham-obama-gold-929.html","Individual item page","Custom Toys","Art Toys & Editions","../toys/art-toys-and-editions/index.html","","Local/internal link","False","False","False"
"Abraham Obama - Gold","items\abraham-obama-gold-929.html","Individual item page","Custom Toys","Back to Art Toys & Editions","../toys/art-toys-and-editions/index.html","","Local/internal link","False","False","False"
"Abraham Obama - Gold","items\abraham-obama-gold-929.html","Individual item page","Custom Toys","Custom Toys","../toys/custom-toys/index.html","","Local/internal link","False","False","False"
"Abraham Obama - Gold","items\abraham-obama-gold-929.html","Individual item page","Custom Toys","Catalogue home","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","ronenglish-archive.github.io","Internal Ron English site/navigation","True","True","False"
"Abraham Obama - Green","items\abraham-obama-green-932.html","Individual item page","Custom Toys","","../images/Trampt/Abraham%20Obama%20-%20Green%20-%20DESIGNER%20TOY.jpeg","","Local/internal link","False","False","False"
"Abraham Obama - Green","items\abraham-obama-green-932.html","Individual item page","Custom Toys","Section home","../index.html","","Local/internal link","False","False","False"
"Abraham Obama - Green","items\abraham-obama-green-932.html","Individual item page","Custom Toys","Sculptures","../sculptures/index.html","","Local/internal link","False","False","False"
"Abraham Obama - Green","items\abraham-obama-green-932.html","Individual item page","Custom Toys","Art Toys & Editions","../toys/art-toys-and-editions/index.html","","Local/internal link","False","False","False"
"Abraham Obama - Green","items\abraham-obama-green-932.html","Individual item page","Custom Toys","Back to Art Toys & Editions","../toys/art-toys-and-editions/index.html","","Local/internal link","False","False","False"
"Abraham Obama - Green","items\abraham-obama-green-932.html","Individual item page","Custom Toys","Custom Toys","../toys/custom-toys/index.html","","Local/internal link","False","False","False"
"Abraham Obama - Green","items\abraham-obama-green-932.html","Individual item page","Custom Toys","Catalogue home","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","ronenglish-archive.github.io","Internal Ron English site/navigation","True","True","False"
"ABRAHAM OBAMA - INAUGURATION","items\abraham-obama-inauguration-67.html","Individual item page","Custom Toys","","../images/Trampt/ABRAHAM%20OBAMA%20-%20INAUGURATION%20-%20DESIGNER%20TOY.jpeg","","Local/internal link","False","False","False"
"ABRAHAM OBAMA - INAUGURATION","items\abraham-obama-inauguration-67.html","Individual item page","Custom Toys","Section home","../index.html","","Local/internal link","False","False","False"
"ABRAHAM OBAMA - INAUGURATION","items\abraham-obama-inauguration-67.html","Individual item page","Custom Toys","Sculptures","../sculptures/index.html","","Local/internal link","False","False","False"
"ABRAHAM OBAMA - INAUGURATION","items\abraham-obama-inauguration-67.html","Individual item page","Custom Toys","Back to Art Toys & Editions","../toys/art-toys-and-editions/index.html","","Local/internal link","False","False","False"
"ABRAHAM OBAMA - INAUGURATION","items\abraham-obama-inauguration-67.html","Individual item page","Custom Toys","Art Toys & Editions","../toys/art-toys-and-editions/index.html","","Local/internal link","False","False","False"
"ABRAHAM OBAMA - INAUGURATION","items\abraham-obama-inauguration-67.html","Individual item page","Custom Toys","Custom Toys","../toys/custom-toys/index.html","","Local/internal link","False","False","False"
"ABRAHAM OBAMA - INAUGURATION","items\abraham-obama-inauguration-67.html","Individual item page","Custom Toys","Catalogue home","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","ronenglish-archive.github.io","Internal Ron English site/navigation","True","True","False"
"Abraham Obama - Original Colors","items\abraham-obama-original-colors-286.html","Individual item page","Custom Toys","","../images/Trampt/Abraham%20Obama%20-%20Original%20Colors%20-%20DESIGNER%20TOY.jpeg","","Local/internal link","False","False","False"
"Abraham Obama - Original Colors","items\abraham-obama-original-colors-286.html","Individual item page","Custom Toys","Section home","../index.html","","Local/internal link","False","False","False"
"Abraham Obama - Original Colors","items\abraham-obama-original-colors-286.html","Individual item page","Custom Toys","Sculptures","../sculptures/index.html","","Local/internal link","False","False","False"
"Abraham Obama - Original Colors","items\abraham-obama-original-colors-286.html","Individual item page","Custom Toys","Back to Art Toys & Editions","../toys/art-toys-and-editions/index.html","","Local/internal link","False","False","False"
"Abraham Obama - Original Colors","items\abraham-obama-original-colors-286.html","Individual item page","Custom Toys","Art Toys & Editions","../toys/art-toys-and-editions/index.html","","Local/internal link","False","False","False"
"Abraham Obama - Original Colors","items\abraham-obama-original-colors-286.html","Individual item page","Custom Toys","Custom Toys","../toys/custom-toys/index.html","","Local/internal link","False","False","False"
"Abraham Obama - Original Colors","items\abraham-obama-original-colors-286.html","Individual item page","Custom Toys","Catalogue home","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","ronenglish-archive.github.io","Internal Ron English site/navigation","True","True","False"
"Abraham Obama - Silver","items\abraham-obama-silver-264.html","Individual item page","Custom Toys","","../images/Trampt/Abraham%20Obama%20-%20Silver%20-%20DESIGNER%20TOY.jpeg","","Local/internal link","False","False","False"
"Abraham Obama - Silver","items\abraham-obama-silver-264.html","Individual item page","Custom Toys","Section home","../index.html","","Local/internal link","False","False","False"
"Abraham Obama - Silver","items\abraham-obama-silver-264.html","Individual item page","Custom Toys","Sculptures","../sculptures/index.html","","Local/internal link","False","False","False"
"Abraham Obama - Silver","items\abraham-obama-silver-264.html","Individual item page","Custom Toys","Back to Art Toys & Editions","../toys/art-toys-and-editions/index.html","","Local/internal link","False","False","False"
"Abraham Obama - Silver","items\abraham-obama-silver-264.html","Individual item page","Custom Toys","Art Toys & Editions","../toys/art-toys-and-editions/index.html","","Local/internal link","False","False","False"
"Abraham Obama - Silver","items\abraham-obama-silver-264.html","Individual item page","Custom Toys","Custom Toys","../toys/custom-toys/index.html","","Local/internal link","False","False","False"
"Abraham Obama - Silver","items\abraham-obama-silver-264.html","Individual item page","Custom Toys","Catalogue home","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","ronenglish-archive.github.io","Internal Ron English site/navigation","True","True","False"
"Abraham Obama - White","items\abraham-obama-white-293.html","Individual item page","Custom Toys","","../images/Trampt/Abraham%20Obama%20-%20White%20-%20DESIGNER%20TOY.jpeg","","Local/internal link","False","False","False"
"Abraham Obama - White","items\abraham-obama-white-293.html","Individual item page","Custom Toys","Section home","../index.html","","Local/internal link","False","False","False"
"Abraham Obama - White","items\abraham-obama-white-293.html","Individual item page","Custom Toys","Sculptures","../sculptures/index.html","","Local/internal link","False","False","False"
"Abraham Obama - White","items\abraham-obama-white-293.html","Individual item page","Custom Toys","Back to Art Toys & Editions","../toys/art-toys-and-editions/index.html","","Local/internal link","False","False","False"
"Abraham Obama - White","items\abraham-obama-white-293.html","Individual item page","Custom Toys","Art Toys & Editions","../toys/art-toys-and-editions/index.html","","Local/internal link","False","False","False"
"Abraham Obama - White","items\abraham-obama-white-293.html","Individual item page","Custom Toys","Custom Toys","../toys/custom-toys/index.html","","Local/internal link","False","False","False"
"Abraham Obama - White","items\abraham-obama-white-293.html","Individual item page","Custom Toys","Catalogue home","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","ronenglish-archive.github.io","Internal Ron English site/navigation","True","True","False"
"Abraham Obama Electoral Map 2012","items\abraham-obama-electoral-map-2012-723.html","Individual item page","Custom Toys","","../images/Trampt/Abraham%20Obama%20Electoral%20Map%202012%20-%20ART%20PRINT.jpeg","","Local/internal link","False","False","False"
"Abraham Obama Electoral Map 2012","items\abraham-obama-electoral-map-2012-723.html","Individual item page","Custom Toys","Repository home","../index.html","","Local/internal link","False","False","False"
"Abraham Obama Electoral Map 2012","items\abraham-obama-electoral-map-2012-723.html","Individual item page","Custom Toys","Original Art","../original-art/index.html","","Local/internal link","False","False","False"
"Abraham Obama Electoral Map 2012","items\abraham-obama-electoral-map-2012-723.html","Individual item page","Custom Toys","Art Prints","../prints/index.html","","Local/internal link","False","False","False"
"Abraham Obama Electoral Map 2012","items\abraham-obama-electoral-map-2012-723.html","Individual item page","Custom Toys","Back to A-Z index","../toys/a-z/index.html","","Local/internal link","False","False","False"
"Abraham Obama Electoral Map 2012","items\abraham-obama-electoral-map-2012-723.html","Individual item page","Custom Toys","Custom Toys","../toys/custom-toys/index.html","","Local/internal link","False","False","False"
"Abraham Obama Electoral Map 2012","items\abraham-obama-electoral-map-2012-723.html","Individual item page","Custom Toys","Designer Toys","../toys/designer-toys/index.html","","Local/internal link","False","False","False"
"Abraham Obama Electoral Map 2012","items\abraham-obama-electoral-map-2012-723.html","Individual item page","Custom Toys","Toys","../toys/index.html","","Local/internal link","False","False","False"
"Abraham Obama Electoral Map 2012","items\abraham-obama-electoral-map-2012-723.html","Individual item page","Custom Toys","Open Trampt source record","https://www.trampt.com/item/abraham-obama-electoral-map-2012-ron-english-giclee-art-print-IoUhfkYdgFoDgN","www.trampt.com","Review carefully - Trampt/public-source rule","True","False","True"
"Action Figure - Gold Iron Skin Grin","items\gold-iron-skin-grin-689.html","Individual item page","Custom Toys","","../images/Trampt/Gold%20Iron%20Skin%20Grin%20-%20DESIGNER%20TOY.jpeg","","Local/internal link","False","False","False"
"Action Figure - Gold Iron Skin Grin","items\gold-iron-skin-grin-689.html","Individual item page","Custom Toys","Section home","../index.html","","Local/internal link","False","False","False"
"Action Figure - Gold Iron Skin Grin","items\gold-iron-skin-grin-689.html","Individual item page","Custom Toys","Sculptures","../sculptures/index.html","","Local/internal link","False","False","False"
"Action Figure - Gold Iron Skin Grin","items\gold-iron-skin-grin-689.html","Individual item page","Custom Toys","Art Toys & Editions","../toys/art-toys-and-editions/index.html","","Local/internal link","False","False","False"
"Action Figure - Gold Iron Skin Grin","items\gold-iron-skin-grin-689.html","Individual item page","Custom Toys","Back to Art Toys & Editions","../toys/art-toys-and-editions/index.html","","Local/internal link","False","False","False"
"Action Figure - Gold Iron Skin Grin","items\gold-iron-skin-grin-689.html","Individual item page","Custom Toys","Custom Toys","../toys/custom-toys/index.html","","Local/internal link","False","False","False"
"Action Figure - Gold Iron Skin Grin","items\gold-iron-skin-grin-689.html","Individual item page","Custom Toys","Catalogue home","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","ronenglish-archive.github.io","Internal Ron English site/navigation","True","True","False"
"Action Figure - Gold Police Grin","items\gold-police-grin-834.html","Individual item page","Custom Toys","","../images/Trampt/Gold%20Police%20Grin%20-%20DESIGNER%20TOY.jpeg","","Local/internal link","False","False","False"
"Action Figure - Gold Police Grin","items\gold-police-grin-834.html","Individual item page","Custom Toys","Section home","../index.html","","Local/internal link","False","False","False"
"Action Figure - Gold Police Grin","items\gold-police-grin-834.html","Individual item page","Custom Toys","Sculptures","../sculptures/index.html","","Local/internal link","False","False","False"
"Action Figure - Gold Police Grin","items\gold-police-grin-834.html","Individual item page","Custom Toys","Back to Art Toys & Editions","../toys/art-toys-and-editions/index.html","","Local/internal link","False","False","False"
"Action Figure - Gold Police Grin","items\gold-police-grin-834.html","Individual item page","Custom Toys","Art Toys & Editions","../toys/art-toys-and-editions/index.html","","Local/internal link","False","False","False"
"Action Figure - Gold Police Grin","items\gold-police-grin-834.html","Individual item page","Custom Toys","Custom Toys","../toys/custom-toys/index.html","","Local/internal link","False","False","False"
"Action Figure - Gold Police Grin","items\gold-police-grin-834.html","Individual item page","Custom Toys","Catalogue home","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","ronenglish-archive.github.io","Internal Ron English site/navigation","True","True","False"
"Action Figure - Iron Skin Grin","items\iron-skin-grin-635.html","Individual item page","Custom Toys","","../images/Trampt/Iron%20Skin%20Grin%20-%20DESIGNER%20TOY.jpeg","","Local/internal link","False","False","False"
"Action Figure - Iron Skin Grin","items\iron-skin-grin-635.html","Individual item page","Custom Toys","Section home","../index.html","","Local/internal link","False","False","False"
"Action Figure - Iron Skin Grin","items\iron-skin-grin-635.html","Individual item page","Custom Toys","Sculptures","../sculptures/index.html","","Local/internal link","False","False","False"
"Action Figure - Iron Skin Grin","items\iron-skin-grin-635.html","Individual item page","Custom Toys","Art Toys & Editions","../toys/art-toys-and-editions/index.html","","Local/internal link","False","False","False"
"Action Figure - Iron Skin Grin","items\iron-skin-grin-635.html","Individual item page","Custom Toys","Back to Art Toys & Editions","../toys/art-toys-and-editions/index.html","","Local/internal link","False","False","False"
"Action Figure - Iron Skin Grin","items\iron-skin-grin-635.html","Individual item page","Custom Toys","Custom Toys","../toys/custom-toys/index.html","","Local/internal link","False","False","False"
"Action Figure - Iron Skin Grin","items\iron-skin-grin-635.html","Individual item page","Custom Toys","Catalogue home","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","ronenglish-archive.github.io","Internal Ron English site/navigation","True","True","False"
"Action Figure Dark Star Grin","items\dark-star-grin-390.html","Individual item page","Custom Toys","","../images/Trampt/Dark%20Star%20Grin%20-%20DESIGNER%20TOY.jpeg","","Local/internal link","False","False","False"
"Action Figure Dark Star Grin","items\dark-star-grin-390.html","Individual item page","Custom Toys","Section home","../index.html","","Local/internal link","False","False","False"
"Action Figure Dark Star Grin","items\dark-star-grin-390.html","Individual item page","Custom Toys","Sculptures","../sculptures/index.html","","Local/internal link","False","False","False"
"Action Figure Dark Star Grin","items\dark-star-grin-390.html","Individual item page","Custom Toys","Back to Art Toys & Editions","../toys/art-toys-and-editions/index.html","","Local/internal link","False","False","False"
"Action Figure Dark Star Grin","items\dark-star-grin-390.html","Individual item page","Custom Toys","Art Toys & Editions","../toys/art-toys-and-editions/index.html","","Local/internal link","False","False","False"
"Action Figure Dark Star Grin","items\dark-star-grin-390.html","Individual item page","Custom Toys","Custom Toys","../toys/custom-toys/index.html","","Local/internal link","False","False","False"
"Action Figure Dark Star Grin","items\dark-star-grin-390.html","Individual item page","Custom Toys","Catalogue home","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","ronenglish-archive.github.io","Internal Ron English site/navigation","True","True","False"
"Action Figure Dark Star Grin - Gold","items\gold-dark-star-grin-987.html","Individual item page","Custom Toys","","../images/Trampt/Gold%20Dark%20Star%20Grin%20-%20DESIGNER%20TOY.jpeg","","Local/internal link","False","False","False"
"Action Figure Dark Star Grin - Gold","items\gold-dark-star-grin-987.html","Individual item page","Custom Toys","Section home","../index.html","","Local/internal link","False","False","False"
"Action Figure Dark Star Grin - Gold","items\gold-dark-star-grin-987.html","Individual item page","Custom Toys","Sculptures","../sculptures/index.html","","Local/internal link","False","False","False"
"Action Figure Dark Star Grin - Gold","items\gold-dark-star-grin-987.html","Individual item page","Custom Toys","Art Toys & Editions","../toys/art-toys-and-editions/index.html","","Local/internal link","False","False","False"
"Action Figure Dark Star Grin - Gold","items\gold-dark-star-grin-987.html","Individual item page","Custom Toys","Back to Art Toys & Editions","../toys/art-toys-and-editions/index.html","","Local/internal link","False","False","False"
"Action Figure Dark Star Grin - Gold","items\gold-dark-star-grin-987.html","Individual item page","Custom Toys","Custom Toys","../toys/custom-toys/index.html","","Local/internal link","False","False","False"
"Action Figure Dark Star Grin - Gold","items\gold-dark-star-grin-987.html","Individual item page","Custom Toys","Catalogue home","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","ronenglish-archive.github.io","Internal Ron English site/navigation","True","True","False"
"Action Figure Police Grin","toys\art-toys-and-editions\action-figure\police-grin\index.html","Index page","Custom Toys","Section home","../../../../index.html","","Local/internal link","False","False","False"
"Action Figure Police Grin","toys\art-toys-and-editions\action-figure\police-grin\index.html","Index page","Custom Toys","Action Figure Police Grin Gay Empire","../../../../items/gay-empire-police-grin-303.html","","Local/internal link","False","False","False"
"Action Figure Police Grin","toys\art-toys-and-editions\action-figure\police-grin\index.html","Index page","Custom Toys","Action Figure Police Grin Gold","../../../../items/gold-police-grin-604.html","","Local/internal link","False","False","False"
"Action Figure Police Grin","toys\art-toys-and-editions\action-figure\police-grin\index.html","Index page","Custom Toys","Action Figure Gold Police Grin","../../../../items/gold-police-grin-834.html","","Local/internal link","False","False","False"
"Action Figure Police Grin","toys\art-toys-and-editions\action-figure\police-grin\index.html","Index page","Custom Toys","Action Figure Police Grin HipHop Trooper","../../../../items/hiphop-trooper-police-grin-202.html","","Local/internal link","False","False","False"
"Action Figure Police Grin","toys\art-toys-and-editions\action-figure\police-grin\index.html","Index page","Custom Toys","Action Figure Police Grin Silver AP","../../../../items/silver-ap-police-grin-384.html","","Local/internal link","False","False","False"
