"Title","ItemPage","Categories"
"Shocking Sunflower - Charlie Grin MC","items/m-c-charlie-grin-768.html","MC | Sunflower"
"MC Supersized Action Figure","items/mc-supersized-647.html","MC | Action Figure"
"MC Action Figure","items/mc-action-811.html","MC | Action Figure"
