"Category","CategorySlug","Title","ItemPage","ImageFile","Source"
"Light Cult","light-cult","Black & White GID Light Cult Crypto Bulb","items/black-white-gid-light-cult-crypto-bulb-591.html","Black & White GID Light Cult Crypto Bulb - DESIGNER TOY.jpeg","toys/art-toys-and-editions/light-cult/index.html"
"Light Cult","light-cult","GID Green Star Skull Bulb","items/gid-green-star-skull-bulb-370.html","GID Green Star Skull Bulb - DESIGNER TOY.jpeg","toys/art-toys-and-editions/star-skull/index.html"
"Light Cult","light-cult","Light Cult Crypto Bulb - GID","items/light-cult-crypto-bulb-gid-820.html","Light Cult Crypto Bulb GID - DESIGNER TOY.jpeg","toys/art-toys-and-editions/light-cult/index.html"
"Light Cult","light-cult","Light Cult Crypto Bulb - Pink & Blue GID","items/pink-blue-gid-light-cult-crypto-bulb-646.html","Pink & Blue GID Light Cult Crypto Bulb - DESIGNER TOY-3.jpeg","toys/art-toys-and-editions/light-cult/index.html"
"Star Skull","star-skull","Star Skull - Bone","items/star-skull-bone-56.html","Star Skull - Bone - DESIGNER TOY.jpeg","toys/art-toys-and-editions/star-skull/index.html"
"Star Skull","star-skull","Star Skull - GID (Kickstarter Exclusive)","items/gid-star-skull-kickstarter-exclusive-240.html","GID Star Skull (Kickstarter Exclusive) - DESIGNER TOY.jpeg","toys/art-toys-and-editions/star-skull/index.html"
"Star Skull","star-skull","Star Skull - Metallic Silver","items/star-skull-metallic-silver-934.html","Star Skull - Metallic Silver - DESIGNER TOY.jpeg","toys/art-toys-and-editions/star-skull/index.html"
