"Scope","Target","Status","OldTitle","NewTitle","Detail","BackupPath"
"item page","items/gold-police-grin-834.html","Updated","Gold Police Grin","Action Figure - Gold Police Grin","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\gold-police-grin-834.html"
"item page","items/100-400-have-a-grin-day-be-rbrick-set-809.html","Updated","Have a Grin Day - Be@rbrick Set","Be@rbrick Set - Have a Grin Day","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\100-400-have-a-grin-day-be-rbrick-set-809.html"
"item page","items/iron-skin-grin-635.html","Updated","Iron Skin Grin","Action Figure - Iron Skin Grin","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\iron-skin-grin-635.html"
"item page","items/mc-supersized-frozen-culture-483.html","Updated","Mc Supersized Frozen Culture","Frozen Culture - Mc Supersized","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\mc-supersized-frozen-culture-483.html"
"item page","items/gas-mask-mouse-frozen-culture-581.html","Updated","Mouse Mask Frozen Culture","Frozen Culture - Mouse Mask","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\gas-mask-mouse-frozen-culture-581.html"
"item page","items/gay-empire-police-grin-303.html","Updated","Police Grin - Gay Empire","Action Figure Police Grin - Gay Empire","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\gay-empire-police-grin-303.html"
"item page","items/gold-police-grin-604.html","Updated","Police Grin - Gold","Action Figure Police Grin - Gold","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\gold-police-grin-604.html"
"item page","items/hiphop-trooper-police-grin-202.html","Updated","Police Grin - HipHop Trooper","Action Figure Police Grin - HipHop Trooper","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\hiphop-trooper-police-grin-202.html"
"item page","items/silver-ap-police-grin-384.html","Updated","Police Grin - Silver AP","Action Figure Police Grin - Silver AP","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\silver-ap-police-grin-384.html"
"item page","items/white-police-grin-212.html","Updated","Police Grin - White","Action Figure Police Grin - White","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\white-police-grin-212.html"
"item page","items/red-baron-mousemask-murphy-in-airplane-713.html","Updated","Red Baron Mousemask Murphy in Airplane","Mousemask Murphy in Airplane - Red Baron","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\red-baron-mousemask-murphy-in-airplane-713.html"
"item page","items/rodent-grin-og-gid-853.html","Updated","RODENT GRIN OG - GID","Rodent Grin OG - GID","title","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\rodent-grin-og-gid-853.html"
"item page","items/rabbbit-frozen-culture-235.html","Updated","Ronnnie Rabbbit Frozen Culture","Frozen Culture - Ronnnie Rabbbit","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\rabbbit-frozen-culture-235.html"
"item page","items/smiley-grin-pearl-edition-gold-grin-295.html","Updated","Smiley Grin - Pearl & Gold","Smiley Grin Piggy Bank - Pearl & Gold","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\smiley-grin-pearl-edition-gold-grin-295.html"
"item page","items/smiley-grin-pearl-edition-silver-grin-328.html","Updated","Smiley Grin - Pearl & Silver","Smiley Grin Piggy Bank - Pearl & Silver","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\smiley-grin-pearl-edition-silver-grin-328.html"
"item page","items/smiley-grin-pearl-edition-white-grin-778.html","Updated","Smiley Grin - Pearl & White","Smiley Grin Piggy Bank - Pearl & White","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\smiley-grin-pearl-edition-white-grin-778.html"
"item page","items/ron-english-smiley-grin-silver-pearl-ap-version-899.html","Updated","Smiley Grin - Silver Pearl (AP Version)","Smiley Grin Piggy Bank - Silver Pearl (AP Version)","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\ron-english-smiley-grin-silver-pearl-ap-version-899.html"
"item page","items/bangkok-star-skull-754.html","Updated","Star Skull - Bangkok","Star Skull Walking Stick - Bangkok","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\bangkok-star-skull-754.html"
"item page","items/black-rainbow-star-skull-341.html","Updated","Star Skull - Black Rainbow","Star Skull Walking Stick - Black Rainbow","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\black-rainbow-star-skull-341.html"
"item page","items/pearl-star-skull-386.html","Updated","Star Skull - Pearl","Star Skull Walking Stick - Pearl","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\pearl-star-skull-386.html"
"item page","items/star-skull-frozen-culture-274.html","Updated","Star Skull Frozen Culture","Frozen Culture - Star Skull","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\star-skull-frozen-culture-274.html"
"item page","items/super-sized-me-s-s-f-g-i-d-62.html","Updated","Super Size Me - S.S.F G.I.D.","Super Size Me - S.S.F GID","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\super-sized-me-s-s-f-g-i-d-62.html"
"item page","items/telegrinnies-club-cubic-silver-914.html","Updated","Telegrinnies - Club Cubic Silver","Telegrinnie - Club Cubic Silver","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\telegrinnies-club-cubic-silver-914.html"
