"Action","Target","Status","Detail","BackupPath"
"Update HTML","toys/art-toys-and-editions/mousezilla/index.html","Updated","Added/kept moved item(s): Mousezilla MC.","D:\github-backups\ron-english-toys\fix-mc-misfiled-items-and-remove-mc-super-hero-v1-20260513-121231\toys\art-toys-and-editions\mousezilla\index.html"
"Update HTML","toys/art-toys-and-editions/orion-grin/index.html","Updated","Added/kept moved item(s): McGrin Orion.","D:\github-backups\ron-english-toys\fix-mc-misfiled-items-and-remove-mc-super-hero-v1-20260513-121231\toys\art-toys-and-editions\orion-grin\index.html"
"Update HTML","toys/art-toys-and-editions/elefanka/index.html","Updated","Added/kept moved item(s): Elefanka MC (SDCC '19).","D:\github-backups\ron-english-toys\fix-mc-misfiled-items-and-remove-mc-super-hero-v1-20260513-121231\toys\art-toys-and-editions\elefanka\index.html"
"Update HTML","toys/art-toys-and-editions/mc/index.html","Updated","Removed 4 moved/removed card(s) from wrong Art Toys page.","D:\github-backups\ron-english-toys\fix-mc-misfiled-items-and-remove-mc-super-hero-v1-20260513-121231\toys\art-toys-and-editions\mc\index.html"
"Remove item page","items/mc-super-hero-439.html","Removed","HTML page removed after backup. Source images were not touched.","D:\github-backups\ron-english-toys\fix-mc-misfiled-items-and-remove-mc-super-hero-v1-20260513-121231\items\mc-super-hero-439.html"
