"Category","CategorySlug","MatchMode","Title","ItemPage","ImageFile","Source"
"Cereal Killers","cereal-killers","TitleAndFilename","Cereal Killers - Cap'N Corn Starch","items/cereal-killers-cap-n-corn-starch-1058.html","Cereal Killers - Cap'N Corn Starch - DESIGNER TOY.jpeg","toys/art-toys-and-editions/index.html"
"Cereal Killers","cereal-killers","TitleAndFilename","Cereal Killers - Coco Puffed Paunch","items/cereal-killers-coco-puffed-paunch-697.html","Cereal Killers - Coco Puffed Paunch - DESIGNER TOY.jpeg","toys/art-toys-and-editions/index.html"
"Cereal Killers","cereal-killers","TitleAndFilename","Cereal Killers - Count Calorie","items/cereal-killers-count-calorie-122.html","Cereal Killers - Count Calorie - DESIGNER TOY.jpeg","toys/art-toys-and-editions/index.html"
"Cereal Killers","cereal-killers","TitleAndFilename","Cereal Killers - Franken Fat","items/cereal-killers-franken-fat-1065.html","Cereal Killers - Franken Fat - DESIGNER TOY.jpeg","toys/art-toys-and-editions/index.html"
"Cereal Killers","cereal-killers","TitleAndFilename","Cereal Killers - Franken Fat (Gray)","items/cereal-killers-franken-fat-gray-1051.html","Cereal Killers - Franken Fat (Gray) - DESIGNER TOY.jpeg","toys/art-toys-and-editions/index.html"
"Cereal Killers","cereal-killers","TitleAndFilename","Cereal Killers - Froot Looped","items/cereal-killers-froot-looped-657.html","Cereal Killers - Froot Looped - DESIGNER TOY-2.jpeg","toys/art-toys-and-editions/index.html"
"Cereal Killers","cereal-killers","TitleAndFilename","Cereal Killers Mini Figures 12-pack w/ Display Case","items/cereal-killers-mini-figures-12-pack-w-display-case-10.html","Cereal Killers Mini Figures 12-pack w Display Case - DESIGNER TOY.jpeg","toys/art-toys-and-editions/index.html"
"Cereal Killers","cereal-killers","TitleAndFilename","Cereal Killers - Obesie O's","items/cereal-killers-obesie-o-s-70.html","Cereal Killers - Obesie O's - DESIGNER TOY.jpeg","toys/art-toys-and-editions/index.html"
"Cereal Killers","cereal-killers","TitleAndFilename","Cereal Killers - Qhrist","items/cereal-killers-qhrist-342.html","Cereal Killers - Qhrist - DESIGNER TOY.jpeg","toys/art-toys-and-editions/index.html"
"Cereal Killers","cereal-killers","TitleAndFilename","Cereal Killers - Sugar Diabetic Bear","items/cereal-killers-sugar-diabetic-bear-847.html","Cereal Killers - Sugar Diabetic Bear - DESIGNER TOY.jpeg","toys/art-toys-and-editions/index.html"
