"Action","SourceRel","Status","BackupRel","Detail"
"Move to backup","data/generated/alphabetize-toy-index-pages-after-title-updates-v1-report-20260513-100910.csv","Moved","data/generated/alphabetize-toy-index-pages-after-title-updates-v1-report-20260513-100910.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/center-homepage-custom-toys-card-v1-report-20260513-122534.csv","Moved","data/generated/center-homepage-custom-toys-card-v1-report-20260513-122534.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/center-homepage-custom-toys-card-v2-report-20260513-122705.csv","Moved","data/generated/center-homepage-custom-toys-card-v2-report-20260513-122705.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/center-homepage-section-cards-v4-report-20260513-125319.csv","Moved","data/generated/center-homepage-section-cards-v4-report-20260513-125319.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/clean-action-figures-index-titles-v1-report-20260513-113428.csv","Moved","data/generated/clean-action-figures-index-titles-v1-report-20260513-113428.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/cleanup-before-push-v1-candidates-20260513-124909.csv","Moved","data/generated/cleanup-before-push-v1-candidates-20260513-124909.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/cleanup-before-push-v1-candidates-20260513-125348.csv","Moved","data/generated/cleanup-before-push-v1-candidates-20260513-125348.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/cleanup-before-push-v1-folder-sizes-20260513-124909.csv","Moved","data/generated/cleanup-before-push-v1-folder-sizes-20260513-124909.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/cleanup-before-push-v1-folder-sizes-20260513-125348.csv","Moved","data/generated/cleanup-before-push-v1-folder-sizes-20260513-125348.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/cleanup-before-push-v1-git-status-20260513-124909.txt","Moved","data/generated/cleanup-before-push-v1-git-status-20260513-124909.txt","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/cleanup-before-push-v1-git-status-20260513-125348.txt","Moved","data/generated/cleanup-before-push-v1-git-status-20260513-125348.txt","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/cleanup-before-push-v1-large-files-20260513-124909.csv","Moved","data/generated/cleanup-before-push-v1-large-files-20260513-124909.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/cleanup-before-push-v1-large-files-20260513-125348.csv","Moved","data/generated/cleanup-before-push-v1-large-files-20260513-125348.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/cleanup-before-push-v2-candidates-20260513-125604.csv","Moved","data/generated/cleanup-before-push-v2-candidates-20260513-125604.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/cleanup-before-push-v2-folder-sizes-20260513-125604.csv","Moved","data/generated/cleanup-before-push-v2-folder-sizes-20260513-125604.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/cleanup-before-push-v2-git-status-20260513-125604.txt","Moved","data/generated/cleanup-before-push-v2-git-status-20260513-125604.txt","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/cleanup-before-push-v2-large-files-20260513-125604.csv","Moved","data/generated/cleanup-before-push-v2-large-files-20260513-125604.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/cleanup-before-push-v2-summary-20260513-125604.txt","Moved","data/generated/cleanup-before-push-v2-summary-20260513-125604.txt","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-art-toy-subcategory-pages-batch-v1-category-items-20260513-101756.csv","Moved","data/generated/create-art-toy-subcategory-pages-batch-v1-category-items-20260513-101756.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-art-toy-subcategory-pages-batch-v1-overlaps-20260513-101756.csv","Moved","data/generated/create-art-toy-subcategory-pages-batch-v1-overlaps-20260513-101756.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-art-toy-subcategory-pages-batch-v1-report-20260513-101756.csv","Moved","data/generated/create-art-toy-subcategory-pages-batch-v1-report-20260513-101756.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-mc-subcategory-from-art-toys-index-v1-moved-mc-items-20260513-101326.csv","Moved","data/generated/create-mc-subcategory-from-art-toys-index-v1-moved-mc-items-20260513-101326.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-mc-subcategory-from-art-toys-index-v1-report-20260513-101326.csv","Moved","data/generated/create-mc-subcategory-from-art-toys-index-v1-report-20260513-101326.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-more-art-toy-categories-and-fix-sunflower-charlie-v2-category-items-20260513-103235.csv","Moved","data/generated/create-more-art-toy-categories-and-fix-sunflower-charlie-v2-category-items-20260513-103235.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-more-art-toy-categories-and-fix-sunflower-charlie-v2-category-items-20260513-103632.csv","Moved","data/generated/create-more-art-toy-categories-and-fix-sunflower-charlie-v2-category-items-20260513-103632.csv","Existing generated report/data file; not needed on live GitHub Pages site."
