"Action","Target","Status","Detail","BackupPath"
"Update HTML","toys/art-toys-and-editions/mc/index.html","Updated","","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\mc\index.html"
"Update HTML","toys/art-toys-and-editions/mousemask/index.html","Updated","","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\mousemask\index.html"
"Update HTML","toys/art-toys-and-editions/mousezilla/index.html","Updated","","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\mousezilla\index.html"
"Update HTML","toys/art-toys-and-editions/obama/index.html","Updated","","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\obama\index.html"
"Update HTML","toys/art-toys-and-editions/orion-grin/index.html","Updated","","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\orion-grin\index.html"
"Update HTML","toys/art-toys-and-editions/patrick/index.html","Updated","","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\patrick\index.html"
"Update HTML","toys/art-toys-and-editions/pigeon-skull/index.html","Updated","","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\pigeon-skull\index.html"
"Update HTML","toys/art-toys-and-editions/piggy-bank/index.html","Updated","","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\piggy-bank\index.html"
"Update HTML","toys/art-toys-and-editions/popeye-grin/index.html","Updated","","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\popeye-grin\index.html"
"Update HTML","toys/art-toys-and-editions/poultry-rex/index.html","Updated","","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\poultry-rex\index.html"
"Update HTML","toys/art-toys-and-editions/rodent-grin/index.html","Updated","","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\rodent-grin\index.html"
"Update HTML","toys/art-toys-and-editions/ronnnie-rabbbit/index.html","Updated","","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\ronnnie-rabbbit\index.html"
"Update HTML","toys/art-toys-and-editions/spongebob/index.html","Updated","","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\spongebob\index.html"
"Update HTML","toys/art-toys-and-editions/star-skull-walking-stick/index.html","Updated","","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\star-skull-walking-stick\index.html"
"Update HTML","toys/art-toys-and-editions/storm-parter/index.html","Updated","","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\storm-parter\index.html"
"Update HTML","toys/art-toys-and-editions/sunflower/index.html","Updated","","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\sunflower\index.html"
"Update HTML","toys/art-toys-and-editions/temper-tot/index.html","Updated","","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\temper-tot\index.html"
"Update HTML","items/the-simpsons-tree-house-of-horror-bart-grin-1-20-gold-grin-gid-eyes-jps-exclusive-920.html","Updated","Title replacements: The Simpsons Tree House of Horror Bart Grin - 1-20: Gold Grin, GID eyes ( JPS Exclusive ) -> The Simpsons Tree House of Horror Bart Grin - Gold Grin, GID eyes (JPS Exclusive)","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\items\the-simpsons-tree-house-of-horror-bart-grin-1-20-gold-grin-gid-eyes-jps-exclusive-920.html"
"Update HTML","items/the-simpsons-tree-house-of-horror-bart-grin-21-60-platinum-grin-gid-eyes-jps-exclusive-105.html","Updated","Title replacements: The Simpsons Tree House of Horror Bart Grin - 21-60: Platinum Grin, GID eyes ( JPS Exclusive ) -> The Simpsons Tree House of Horror Bart Grin - Platinum Grin, GID eyes (JPS Exclusive)","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\items\the-simpsons-tree-house-of-horror-bart-grin-21-60-platinum-grin-gid-eyes-jps-exclusive-105.html"
"Update HTML","items/the-simpsons-tree-house-of-horror-bart-grin-61-140-gid-grin-jps-exclusive-1021.html","Updated","Title replacements: The Simpsons Tree House of Horror Bart Grin - 61-140: GID Grin ( JPS Exclusive ) -> The Simpsons Tree House of Horror Bart Grin - GID Grin (JPS Exclusive)","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\items\the-simpsons-tree-house-of-horror-bart-grin-61-140-gid-grin-jps-exclusive-1021.html"
"Update HTML","items/the-simpsons-tree-house-of-horror-bart-grin-gid-prototype-edition-jps-exclusive-348.html","Updated","Title replacements: Bart Grin - GID Prototype ( JPS Exclusive ) -> Bart Grin - GID Prototype (JPS Exclusive) | The Simpsons Tree House of Horror Bart Grin - GID Prototype Edition ( JPS Exclusive ) -> The Simpsons Tree House of Horror Bart Grin - GID Prototype Edition (JPS Exclusive)","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\items\the-simpsons-tree-house-of-horror-bart-grin-gid-prototype-edition-jps-exclusive-348.html"
"Remove item page","items/gid-artist-gnome-381.html","Removed","HTML page removed after backup. Source images were not touched.","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\items\gid-artist-gnome-381.html"
