"Rule","Target","Title","ItemPage","Status"
"Evil MC - Franken belongs in MC, not Cereal Killers.","MC","Evil MC - Franken","items/franken-evil-mc-685.html","Found"
"Frozen Culture - Fat Tony belongs in Frozen Culture only.","Frozen Culture","Frozen Culture - Fat Tony","items/fat-tony-frozen-culture-124.html","Found"
