"Category","CategorySlug","Title","ItemPage","ImageFile","Source"
"MC","mc","Elefanka - MC (SDCC '19)","items/mc-elefanka-sdcc-19-939.html","Mc Elefanka (SDCC '19) - DESIGNER TOY-2.jpeg","toys/art-toys-and-editions/mc/index.html"
"MC","mc","Evil MC","items/evil-mc-773.html","Evil MC - DESIGNER TOY.jpeg","toys/art-toys-and-editions/mc/index.html"
"MC","mc","Evil MC - Camo Edition","items/evil-mc-camo-edition-970.html","EVIL MC - Camo Edition - DESIGNER TOY.jpeg","toys/art-toys-and-editions/mc/index.html"
"MC","mc","Evil MC - Camo Face","items/evil-mc-camo-edition-variant-camo-face-340.html","EVIL MC - Camo Edition ( Variant - Camo Face ) - DESIGNER TOY.jpeg","toys/art-toys-and-editions/mc/index.html"
"MC","mc","Evil MC - Diamond Dust Black","items/evil-mc-diamond-dust-edition-black-makeup-520.html","EVIL MC - Diamond Dust Edition ( Black makeup ) - DESIGNER TOY.jpeg","toys/art-toys-and-editions/mc/index.html"
"MC","mc","Evil MC - Diamond Dust Red","items/evil-mc-diamond-dust-edition-red-makeup-175.html","EVIL MC - Diamond Dust Edition ( Red makeup ) - DESIGNER TOY-2.jpeg","toys/art-toys-and-editions/mc/index.html"
"MC","mc","Evil MC - Franken","items/franken-evil-mc-685.html","Franken Evil MC - DESIGNER TOY.jpeg","toys/art-toys-and-editions/mc/index.html"
"MC","mc","EVIL MC - Golden Glitter","items/golden-glitter-evil-mc-924.html","Golden Glitter EVIL MC - DESIGNER TOY.jpeg","toys/art-toys-and-editions/mc/index.html"
"MC","mc","Evil MC - Hella Bling","items/evil-mc-hella-bling-edition-236.html","EVIL MC - Hella Bling Edition - DESIGNER TOY.jpeg","toys/art-toys-and-editions/mc/index.html"
"MC","mc","Evil MC - Hella Evil","items/evil-mc-hella-evil-edition-324.html","Evil MC - Hella Evil edition - DESIGNER TOY.jpeg","toys/art-toys-and-editions/mc/index.html"
"MC","mc","Evil MC - Pure Evil","items/evil-mc-pure-evil-edition-870.html","Evil MC - Pure Evil edition - DESIGNER TOY.jpeg","toys/art-toys-and-editions/mc/index.html"
"MC","mc","Evil MC - Stealth","items/evil-mc-stealth-855.html","Evil MC - Stealth - DESIGNER TOY-2.jpeg","toys/art-toys-and-editions/mc/index.html"
"MC","mc","Evil MC - Supervillian","items/evil-mc-supervillian-775.html","EVIL MC Supervillian - DESIGNER TOY.jpeg","toys/art-toys-and-editions/mc/index.html"
"MC","mc","Frozen Culture - Mc Supersized","items/mc-supersized-frozen-culture-483.html","Mc Supersized Frozen Culture - DESIGNER TOY.jpeg","toys/art-toys-and-editions/mc/index.html"
"MC","mc","Gold Rame MC Supersized","items/gold-rame-mc-supersized-619.html","Gold Rame MC Supersized - DESIGNER TOY-2.jpeg","toys/art-toys-and-editions/mc/index.html"
"MC","mc","MC Action Figure","items/mc-action-811.html","MC Action - DESIGNER TOY-2.jpeg","toys/art-toys-and-editions/mc/index.html"
"MC","mc","MC - Amber X-Ray","items/amber-xray-mc-453.html","Amber XRay MC - DESIGNER TOY.jpeg","toys/art-toys-and-editions/mc/index.html"
"MC","mc","MC - GID X-Ray (NTWRK Exclusive)","items/gid-x-ray-mc-ntwrk-exclusive-1033.html","GID X-Ray MC (NTWRK Exclusive) - DESIGNER TOY.jpeg","toys/art-toys-and-editions/mc/index.html"
