"File","Status","Detail","BackupPath"
"toys/art-toys-and-editions/index.html","Updated","removed intro-text section; removed catalogue-search section; removed catalogueSearch script block","D:\github-backups\ron-english-toys\remove-toy-index-search-and-intro-text-v1-20260513-091409\toys\art-toys-and-editions\index.html"
"toys/custom-toys/index.html","Updated","removed intro-text section; removed catalogue-search section; removed catalogueSearch script block","D:\github-backups\ron-english-toys\remove-toy-index-search-and-intro-text-v1-20260513-091409\toys\custom-toys\index.html"
