"File","Status","CardCount","MovedCount","Detail","BackupPath"
"toys/art-toys-and-editions/index.html","Updated","767","688","Alphabetized cards by visible title.","D:\github-backups\ron-english-toys\alphabetize-toy-index-pages-after-title-updates-v1-20260513-100910\toys\art-toys-and-editions\index.html"
"toys/custom-toys/index.html","Updated","70","63","Alphabetized cards by visible title.","D:\github-backups\ron-english-toys\alphabetize-toy-index-pages-after-title-updates-v1-20260513-100910\toys\custom-toys\index.html"
