"Action","Target","Status","Detail","BackupPath"
"Remove index cards","toys/art-toys-and-editions/index.html","Updated","Removed 2 card(s): Iron Skin Grin [iron-skin-grin-440.html]; Hop Hop Police Grin Action Figure [hop-hop-police-grin-action-figure-nycc-20-951.html]","D:\github-backups\ron-english-toys\remove-two-art-toy-entries-hop-hop-and-iron-skin-v1-20260513-092804\toys\art-toys-and-editions\index.html"
"Remove index cards","toys/custom-toys/index.html","No change","No matching cards found.",""
"Remove item page","items/hop-hop-police-grin-action-figure-nycc-20-951.html","Removed","HTML page removed after backup. Source images were not touched.","D:\github-backups\ron-english-toys\remove-two-art-toy-entries-hop-hop-and-iron-skin-v1-20260513-092804\items\hop-hop-police-grin-action-figure-nycc-20-951.html"
"Remove item page","items/iron-skin-grin-440.html","Removed","HTML page removed after backup. Source images were not touched.","D:\github-backups\ron-english-toys\remove-two-art-toy-entries-hop-hop-and-iron-skin-v1-20260513-092804\items\iron-skin-grin-440.html"
