"RequestedTitle","Status","TargetSubcategory","TargetSlug","CurrentTitle","ItemPage","ImageFile","SourceFound"
"Cereal Killers - Cap'N Corn Starch","Found","Cap'n Cornstarch","capn-cornstarch","Cereal Killers - Cap'N Corn Starch","items/cereal-killers-cap-n-corn-starch-1058.html","Cereal Killers - Cap'N Corn Starch - DESIGNER TOY.jpeg","toys/art-toys-and-editions/cereal-killers/index.html"
"Coco Puffed Paunch Mini","Found","Coco Puffed Paunch","coco-puffed-paunch","Coco Puffed Paunch Mini","items/coco-puffed-paunch-mini-315.html","Coco Puffed Paunch Mini - DESIGNER TOY.jpeg","toys/art-toys-and-editions/cereal-killers/index.html"
"Cereal Killers - Coco Puffed Paunch","Found","Coco Puffed Paunch","coco-puffed-paunch","Cereal Killers - Coco Puffed Paunch","items/cereal-killers-coco-puffed-paunch-697.html","Cereal Killers - Coco Puffed Paunch - DESIGNER TOY.jpeg","toys/art-toys-and-editions/cereal-killers/index.html"
"Cereal Killers - Sugar Frosted Fat","Found","Fat Tony","fat-tony","Cereal Killers - Sugar Frosted Fat","items/cereal-killers-sugar-frosted-fat-873.html","Cereal Killers - Sugar Frosted Fat - DESIGNER TOY.jpeg","toys/art-toys-and-editions/cereal-killers/index.html"
"Cereal Killers - Sugar Smack and Drug'Em Killfrog","Not found","Sugar Smack Killfrog","sugar-smack-killfrog","","","",""
"Sugar Smack Killfrog Mini","Found","Sugar Smack Killfrog","sugar-smack-killfrog","Sugar Smack Killfrog Mini","items/sugar-smack-killfrog-mini-11.html","Sugar Smack Killfrog Mini - DESIGNER TOY.jpeg","toys/art-toys-and-editions/cereal-killers/index.html"
"Obesie O'S Mini","Found","Smack, Crack, and Pot","smack-crack-and-pot","Obesie O'S Mini","items/obesie-o-s-mini-595.html","Obesie O'S Mini - DESIGNER TOY-3.jpeg","toys/art-toys-and-editions/cereal-killers/index.html"
