"Action","Target","Status","Detail","BackupPath"
"Remove Art Toys index card","toys/art-toys-and-editions/index.html","Updated","Removed 1 card(s) for 1-1-bart-grin-og-52.html.","D:\github-backups\ron-english-toys\remove-1-1-bart-grin-og-entry-v1-20260513-091844\toys\art-toys-and-editions\index.html"
"Remove item page","items/1-1-bart-grin-og-52.html","Removed","HTML page removed after backup. Source images were not touched.","D:\github-backups\ron-english-toys\remove-1-1-bart-grin-og-entry-v1-20260513-091844\items\1-1-bart-grin-og-52.html"
