"File","Status","BackupSource","CurrentBrokenBackup","Detail"
"toys/art-toys-and-editions/index.html","Restored","D:\github-backups\ron-english-toys\fix-art-toys-index-cleanup-v4-20260513-085035\toys\art-toys-and-editions\index.html","D:\github-backups\ron-english-toys\restore-art-toys-index-from-v4-backup-current-broken-20260513-085241\toys\art-toys-and-editions\index.html","Restored from latest v4 backup folder."
"toys/custom-toys/index.html","Restored","D:\github-backups\ron-english-toys\fix-art-toys-index-cleanup-v4-20260513-085035\toys\custom-toys\index.html","D:\github-backups\ron-english-toys\restore-art-toys-index-from-v4-backup-current-broken-20260513-085241\toys\custom-toys\index.html","Restored from latest v4 backup folder."
