"HtmlFile","Href","ResolvedTarget","Exists"
"items\4-75-boxing-brain-gold-right-hand-798.html","../sculptures/index.html","sculptures\index.html","True"
"items\4-75-boxing-brain-gold-right-hand-798.html","../toys/art-toys-and-editions/index.html","toys\art-toys-and-editions\index.html","True"
"items\4-75-boxing-brain-gold-right-hand-798.html","../toys/custom-toys/index.html","toys\custom-toys\index.html","True"
"items\4-75-boxing-brain-gold-right-hand-798.html","../toys/art-toys-and-editions/index.html","toys\art-toys-and-editions\index.html","True"
"items\4-75-boxing-brain-red-left-hand-229.html","../index.html","index.html","True"
"items\4-75-boxing-brain-red-left-hand-229.html","../sculptures/index.html","sculptures\index.html","True"
"items\4-75-boxing-brain-red-left-hand-229.html","../toys/art-toys-and-editions/index.html","toys\art-toys-and-editions\index.html","True"
"items\4-75-boxing-brain-red-left-hand-229.html","../toys/custom-toys/index.html","toys\custom-toys\index.html","True"
"items\4-75-boxing-brain-red-left-hand-229.html","../toys/art-toys-and-editions/index.html","toys\art-toys-and-editions\index.html","True"
"items\4-75-boxing-brain-red-right-hand-712.html","../index.html","index.html","True"
"items\4-75-boxing-brain-red-right-hand-712.html","../sculptures/index.html","sculptures\index.html","True"
"items\4-75-boxing-brain-red-right-hand-712.html","../toys/art-toys-and-editions/index.html","toys\art-toys-and-editions\index.html","True"
"items\4-75-boxing-brain-red-right-hand-712.html","../toys/custom-toys/index.html","toys\custom-toys\index.html","True"
"items\4-75-boxing-brain-red-right-hand-712.html","../toys/art-toys-and-editions/index.html","toys\art-toys-and-editions\index.html","True"
"items\4-75-boxing-brain-silver-left-hand-741.html","../index.html","index.html","True"
"items\4-75-boxing-brain-silver-left-hand-741.html","../sculptures/index.html","sculptures\index.html","True"
"items\4-75-boxing-brain-silver-left-hand-741.html","../toys/art-toys-and-editions/index.html","toys\art-toys-and-editions\index.html","True"
"items\4-75-boxing-brain-silver-left-hand-741.html","../toys/custom-toys/index.html","toys\custom-toys\index.html","True"
"items\4-75-boxing-brain-silver-left-hand-741.html","../toys/art-toys-and-editions/index.html","toys\art-toys-and-editions\index.html","True"
"items\48-black-charlie-grin-486.html","../index.html","index.html","True"
"items\48-black-charlie-grin-486.html","../sculptures/index.html","sculptures\index.html","True"
"items\48-black-charlie-grin-486.html","../toys/art-toys-and-editions/index.html","toys\art-toys-and-editions\index.html","True"
"items\48-black-charlie-grin-486.html","../toys/custom-toys/index.html","toys\custom-toys\index.html","True"
"items\48-black-charlie-grin-486.html","../toys/art-toys-and-editions/index.html","toys\art-toys-and-editions\index.html","True"
"items\48-electric-strawberry-charlie-grin-nft-452.html","../index.html","index.html","True"
"items\48-electric-strawberry-charlie-grin-nft-452.html","../sculptures/index.html","sculptures\index.html","True"
"items\48-electric-strawberry-charlie-grin-nft-452.html","../toys/art-toys-and-editions/index.html","toys\art-toys-and-editions\index.html","True"
"items\48-electric-strawberry-charlie-grin-nft-452.html","../toys/custom-toys/index.html","toys\custom-toys\index.html","True"
"items\48-electric-strawberry-charlie-grin-nft-452.html","../toys/art-toys-and-editions/index.html","toys\art-toys-and-editions\index.html","True"
"items\48-lightning-zest-charlie-grin-nft-35.html","../index.html","index.html","True"
"items\48-lightning-zest-charlie-grin-nft-35.html","../sculptures/index.html","sculptures\index.html","True"
"items\48-lightning-zest-charlie-grin-nft-35.html","../toys/art-toys-and-editions/index.html","toys\art-toys-and-editions\index.html","True"
"items\48-lightning-zest-charlie-grin-nft-35.html","../toys/custom-toys/index.html","toys\custom-toys\index.html","True"
"items\48-lightning-zest-charlie-grin-nft-35.html","../toys/art-toys-and-editions/index.html","toys\art-toys-and-editions\index.html","True"
"items\48-pink-temper-tot-967.html","../index.html","index.html","True"
"items\48-pink-temper-tot-967.html","../sculptures/index.html","sculptures\index.html","True"
