"ItemNumber","Title","Category","PageFile","PagePath","HasPlaceholder","ImageSrc","ImageFileName","ImageExistsInImagesTrampt","MissingOrBrokenImage"
"960","Dog Face Shell (Drawing)","Original Art","dog-face-shell-drawing-960.html","items\dog-face-shell-drawing-960.html","True","","","False","True"
"1003","Heart Skull - Transparent Green & Purple","Custom Toy","heart-skull-transparent-green-purple-1003.html","items\heart-skull-transparent-green-purple-1003.html","True","","","False","True"
"964","SuperFink","Custom Toy","superfink-964.html","items\superfink-964.html","True","","","False","True"
