"HTMLFileName","RelativePath","LocalHTMLPath","PublicPageURL","CurrentCategoryFromIndex","CurrentIndexFiles","CurrentIndexCardTitles","CurrentIndexMembershipCount","H1","TitleTag","MetaTitle","MetaDate","MetaObjectType","MetaMedium","MetaMaterial","MetaDimensions","MetaEdition","MetaManufacturer","MetaPublisher","MetaWorkID","MetaSignatureMarks","WorkMetaRaw","HeroImageSrc_CurrentHTML","HeroImageFileName_CurrentHTML","HeroImageResolvedPath_CurrentHTML","HeroImageExists_CurrentHTML","ImageRefs_All_CurrentHTML","OtherImageRefs_CurrentHTML","NotesText_CurrentHTML","LiteratureText_CurrentHTML","ExhibitionsText_CurrentHTML","AncillaryDocumentationText_CurrentHTML","SelectedOnlineCirculationText_CurrentHTML","ExternalLinks_CurrentHTML","VerificationStatus","VerificationNotes","ProposedFinalTitle","ProposedFinalCategory","ProposedAction"
"4-75-boxing-brain-gold-right-hand-798.html","items\4-75-boxing-brain-gold-right-hand-798.html","D:\github\ron-english-toys\items\4-75-boxing-brain-gold-right-hand-798.html","https://ronenglish-archive.github.io/ron-english-toys/items/4-75-boxing-brain-gold-right-hand-798.html","","toys\art-toys-and-editions\boxing-brain\index.html","Boxing Brain (Right Hand) Gold","1","Boxing Brain (Right Hand) - Gold","Boxing Brain (Right Hand) - Gold - Ron English Catalogue Raisonne","4.75"" Boxing Brain Gold (Right Hand)",,"Art toy / edition",,,,,,,,,"Title: 4.75"" Boxing Brain Gold (Right Hand) || Object type: Art toy / edition || Artist / creator: Ron English || Manufacturer / maker: ToyQube || Platform: Boxing Brain || Height: 4.75""","../images/Vinyl-Toys/4.75%20Boxing%20Brain%20Gold%20(Right%20Hand)%20-%20DESIGNER%20TOY.jpeg","4.75 Boxing Brain Gold (Right Hand) - DESIGNER TOY.jpeg","images\Vinyl-Toys\4.75 Boxing Brain Gold (Right Hand) - DESIGNER TOY.jpeg","TRUE","../images/Vinyl-Toys/4.75%20Boxing%20Brain%20Gold%20(Right%20Hand)%20-%20DESIGNER%20TOY.jpeg","","","","","","","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","Needs verification","","","",""
"4-75-boxing-brain-red-left-hand-229.html","items\4-75-boxing-brain-red-left-hand-229.html","D:\github\ron-english-toys\items\4-75-boxing-brain-red-left-hand-229.html","https://ronenglish-archive.github.io/ron-english-toys/items/4-75-boxing-brain-red-left-hand-229.html","","toys\art-toys-and-editions\boxing-brain\index.html","Boxing Brain (Left Hand) Red","1","Boxing Brain (Left Hand) - Red","Boxing Brain (Left Hand) - Red - Ron English Catalogue Raisonne","4.75"" Boxing Brain Red (Left Hand)",,"Art toy / edition",,,,,,,,,"Title: 4.75"" Boxing Brain Red (Left Hand) || Object type: Art toy / edition || Artist / creator: Ron English || Manufacturer / maker: ToyQube || Platform: Boxing Brain || Height: 4.75""","../images/Vinyl-Toys/4.75%20Boxing%20Brain%20Red%20(Left%20Hand)%20-%20DESIGNER%20TOY.jpeg","4.75 Boxing Brain Red (Left Hand) - DESIGNER TOY.jpeg","images\Vinyl-Toys\4.75 Boxing Brain Red (Left Hand) - DESIGNER TOY.jpeg","TRUE","../images/Vinyl-Toys/4.75%20Boxing%20Brain%20Red%20(Left%20Hand)%20-%20DESIGNER%20TOY.jpeg","","","","","","","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","Needs verification","","","",""
"4-75-boxing-brain-red-right-hand-712.html","items\4-75-boxing-brain-red-right-hand-712.html","D:\github\ron-english-toys\items\4-75-boxing-brain-red-right-hand-712.html","https://ronenglish-archive.github.io/ron-english-toys/items/4-75-boxing-brain-red-right-hand-712.html","","toys\art-toys-and-editions\boxing-brain\index.html","Boxing Brain (Right Hand) Red","1","Boxing Brain (Right Hand) - Red","Boxing Brain (Right Hand) - Red - Ron English Catalogue Raisonne","4.75"" Boxing Brain Red (Right Hand)",,"Art toy / edition",,,,,,,,,"Title: 4.75"" Boxing Brain Red (Right Hand) || Object type: Art toy / edition || Artist / creator: Ron English || Manufacturer / maker: ToyQube || Platform: Boxing Brain || Height: 4.75""","../images/Vinyl-Toys/4.75 Boxing Brain Red (Right Hand) - DESIGNER TOY-2.jpeg","4.75 Boxing Brain Red (Right Hand) - DESIGNER TOY-2.jpeg","images\Vinyl-Toys\4.75 Boxing Brain Red (Right Hand) - DESIGNER TOY-2.jpeg","TRUE","../images/Vinyl-Toys/4.75 Boxing Brain Red (Right Hand) - DESIGNER TOY-2.jpeg","","","","","","","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","Needs verification","","","",""
"4-75-boxing-brain-silver-left-hand-741.html","items\4-75-boxing-brain-silver-left-hand-741.html","D:\github\ron-english-toys\items\4-75-boxing-brain-silver-left-hand-741.html","https://ronenglish-archive.github.io/ron-english-toys/items/4-75-boxing-brain-silver-left-hand-741.html","","toys\art-toys-and-editions\boxing-brain\index.html","Boxing Brain (Left Hand) Silver","1","Boxing Brain (Left Hand) - Silver","Boxing Brain (Left Hand) - Silver - Ron English Catalogue Raisonne","4.75"" Boxing Brain Silver (Left Hand)",,"Art toy / edition",,,,,,,,,"Title: 4.75"" Boxing Brain Silver (Left Hand) || Object type: Art toy / edition || Artist / creator: Ron English || Manufacturer / maker: ToyQube || Platform: Boxing Brain || Height: 4.75""","../images/Vinyl-Toys/4.75%20Boxing%20Brain%20Silver%20(Left%20Hand)%20-%20DESIGNER%20TOY.jpeg","4.75 Boxing Brain Silver (Left Hand) - DESIGNER TOY.jpeg","images\Vinyl-Toys\4.75 Boxing Brain Silver (Left Hand) - DESIGNER TOY.jpeg","TRUE","../images/Vinyl-Toys/4.75%20Boxing%20Brain%20Silver%20(Left%20Hand)%20-%20DESIGNER%20TOY.jpeg","","","","","","","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","Needs verification","","","",""
"48-black-charlie-grin-486.html","items\48-black-charlie-grin-486.html","D:\github\ron-english-toys\items\48-black-charlie-grin-486.html","https://ronenglish-archive.github.io/ron-english-toys/items/48-black-charlie-grin-486.html","Sculptures","sculptures\index.html | toys\art-toys-and-editions\charlie-grin\index.html","Black Charlie Grin","2","Black Charlie Grin","Black Charlie Grin - Ron English Catalogue Raisonne","48"" Black Charlie Grin",,"Art toy / edition",,,"48 inches high","10",,,,,"Title: 48"" Black Charlie Grin || Object type: Art toy / edition || Release date: Date not yet recorded || Dimensions: 48 inches high || Edition: 10","../images/Vinyl-Toys/48 Black Charlie Grin - DESIGNER TOY.jpeg","48 Black Charlie Grin - DESIGNER TOY.jpeg","images\Vinyl-Toys\48 Black Charlie Grin - DESIGNER TOY.jpeg","TRUE","../images/Vinyl-Toys/48 Black Charlie Grin - DESIGNER TOY.jpeg","","","","","","","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","Needs verification","","","",""
"48-electric-strawberry-charlie-grin-nft-452.html","items\48-electric-strawberry-charlie-grin-nft-452.html","D:\github\ron-english-toys\items\48-electric-strawberry-charlie-grin-nft-452.html","https://ronenglish-archive.github.io/ron-english-toys/items/48-electric-strawberry-charlie-grin-nft-452.html","Sculptures","sculptures\index.html | toys\art-toys-and-editions\charlie-grin\index.html","Electric Strawberry Charlie Grin (+NFT)","2","Electric Strawberry Charlie Grin (+NFT)","Electric Strawberry Charlie Grin (+NFT) - Ron English Catalogue Raisonne","48"" Electric Strawberry Charlie Grin (+NFT)",,"Art toy / edition",,,"48 inches high","9",,,,,"Title: 48"" Electric Strawberry Charlie Grin (+NFT) || Object type: Art toy / edition || Release date: Date not yet recorded || Dimensions: 48 inches high || Edition: 9","../images/Vinyl-Toys/48 Electric Strawberry Charlie Grin (+NFT) - DESIGNER TOY.jpeg","48 Electric Strawberry Charlie Grin (+NFT) - DESIGNER TOY.jpeg","images\Vinyl-Toys\48 Electric Strawberry Charlie Grin (+NFT) - DESIGNER TOY.jpeg","TRUE","../images/Vinyl-Toys/48 Electric Strawberry Charlie Grin (+NFT) - DESIGNER TOY.jpeg","","","","","","","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","Needs verification","","","",""
"48-lightning-zest-charlie-grin-nft-35.html","items\48-lightning-zest-charlie-grin-nft-35.html","D:\github\ron-english-toys\items\48-lightning-zest-charlie-grin-nft-35.html","https://ronenglish-archive.github.io/ron-english-toys/items/48-lightning-zest-charlie-grin-nft-35.html","Sculptures","sculptures\index.html | toys\art-toys-and-editions\charlie-grin\index.html","Lightning Zest Charlie Grin (+NFT)","2","Lightning Zest Charlie Grin (+NFT)","Lightning Zest Charlie Grin (+NFT) - Ron English Catalogue Raisonne","48"" Lightning Zest Charlie Grin (+NFT)",,"Art toy / edition",,,"48 inches high","9",,,,,"Title: 48"" Lightning Zest Charlie Grin (+NFT) || Object type: Art toy / edition || Release date: Date not yet recorded || Dimensions: 48 inches high || Edition: 9","../images/Vinyl-Toys/48 Lightning Zest Charlie Grin (+NFT) - DESIGNER TOY.jpeg","48 Lightning Zest Charlie Grin (+NFT) - DESIGNER TOY.jpeg","images\Vinyl-Toys\48 Lightning Zest Charlie Grin (+NFT) - DESIGNER TOY.jpeg","TRUE","../images/Vinyl-Toys/48 Lightning Zest Charlie Grin (+NFT) - DESIGNER TOY.jpeg","","","","","","","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","Needs verification","","","",""
"48-pink-temper-tot-967.html","items\48-pink-temper-tot-967.html","D:\github\ron-english-toys\items\48-pink-temper-tot-967.html","https://ronenglish-archive.github.io/ron-english-toys/items/48-pink-temper-tot-967.html","Custom Toys | Sculptures","sculptures\index.html | toys\custom-toys\index.html","Pink Temper Tot","2","Pink Temper Tot","Pink Temper Tot - Ron English Catalogue Raisonne","48"" Pink Temper Tot",,"Art toy / edition",,,"48 inches high","30",,,,,"Title: 48"" Pink Temper Tot || Object type: Art toy / edition || Release date: 2015 || Dimensions: 48 inches high || Edition: 30","../images/Vinyl-Toys/48 Pink Temper Tot - Custom Toy - Trampt item 967.jpg","48 Pink Temper Tot - Custom Toy - Trampt item 967.jpg","images\Vinyl-Toys\48 Pink Temper Tot - Custom Toy - Trampt item 967.jpg","TRUE","../images/Vinyl-Toys/48 Pink Temper Tot - Custom Toy - Trampt item 967.jpg","","","","","","","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","Needs verification","","","",""
"48-yellow-charlie-grin-421.html","items\48-yellow-charlie-grin-421.html","D:\github\ron-english-toys\items\48-yellow-charlie-grin-421.html","https://ronenglish-archive.github.io/ron-english-toys/items/48-yellow-charlie-grin-421.html","Sculptures","sculptures\index.html | toys\art-toys-and-editions\charlie-grin\index.html","Charlie Grin Yellow | Yellow Charlie Grin","2","Charlie Grin - Yellow","Charlie Grin - Yellow - Ron English Toys","48"" Yellow Charlie Grin",,"Art toy / edition",,,"48 inches high","10",,,,,"Title: 48"" Yellow Charlie Grin || Object type: Art toy / edition || Release date: Date not yet recorded || Dimensions: 48 inches high || Edition: 10","../images/Vinyl-Toys/48 Yellow Charlie Grin - DESIGNER TOY.jpeg","48 Yellow Charlie Grin - DESIGNER TOY.jpeg","images\Vinyl-Toys\48 Yellow Charlie Grin - DESIGNER TOY.jpeg","TRUE","../images/Vinyl-Toys/48 Yellow Charlie Grin - DESIGNER TOY.jpeg","","","","","","","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","Needs verification","","","",""
"4-groovy-mc-supersized-skull-164.html","items\4-groovy-mc-supersized-skull-164.html","D:\github\ron-english-toys\items\4-groovy-mc-supersized-skull-164.html","https://ronenglish-archive.github.io/ron-english-toys/items/4-groovy-mc-supersized-skull-164.html","","toys\art-toys-and-editions\mc\mc-supersized\index.html","MC Supersized Skull Groovy","1","MC Supersized Skull - Groovy","MC Supersized Skull - Groovy - Ron English Toys","4"" Groovy Mc Supersized (Skull)",,"Art toy / edition",,,,,,,,,"Title: 4"" Groovy Mc Supersized (Skull) || Object type: Art toy / edition || Artist / creator: Ron English || Manufacturer / maker: Pop Life || Platform: MC Supersized || Height: 4.00"" || Original retail price: $39","../images/Vinyl-Toys/4 Groovy Mc Supersized (Skull) - DESIGNER TOY-2.jpeg","4 Groovy Mc Supersized (Skull) - DESIGNER TOY-2.jpeg","images\Vinyl-Toys\4 Groovy Mc Supersized (Skull) - DESIGNER TOY-2.jpeg","TRUE","../images/Vinyl-Toys/4 Groovy Mc Supersized (Skull) - DESIGNER TOY-2.jpeg","","","","","","","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","Needs verification","","","",""
